PlantID_final,Easting,Northing,is_mother
L0221,113.881611186021,-408.896224039607,True
J0314,-42.4189928260166,-462.055875790305,False
K0451,111.679550333007,-408.520317830145,True
K1762,112.507120804978,-407.172266400419,False
L0230,-88.4533329919796,-464.966963379644,False
L0234,-389.059361100022,-608.59765117988,False
L0243,-351.239243605989,-582.447261010297,False
L0250,-324.889892857987,-572.729093420319,False
L0258,-266.464293689991,-535.764608009718,False
L0260,-245.668695316999,-102.174378749914,False
K2005,-282.053047912021,-550.268816060387,False
L0263,-285.778660823009,-551.179902450182,False
L0284,210.168441447022,-368.125089799985,False
L0294,66.8250781079987,42.6155894296244,False
L0314,-371.422397800023,708.977105059661,False
L0320,-186.767433925008,570.611106569879,False
L0323,-162.325014723989,252.686976790428,False
L0325,-369.152536940994,704.837925150059,False
L0326,-138.384251166019,328.331158779562,False
L0329,-139.440417209989,327.076684799977,False
J0493,-185.45067306998,572.259183369577,False
K1847,284.29300597799,-61.3380453195423,False
K1899,285.130308756023,-63.5769806299359,False
L0395,-359.857454998011,777.435309669934,False
L0401,439.014417677012,-86.6396443098783,False
L0407,-358.836294915993,775.96052491013,False
L0412,19.4659236139851,-78.242040459998,False
L0413,25.9960342230042,-58.5760885896161,False
L0414,25.5963864800287,-59.2202793899924,False
L0435,-172.011938782991,563.63752586022,False
L0460,-314.038922658016,813.053211480379,False
L0461,-221.794811973989,580.840546470135,False
L0465,-255.374184746994,642.507124410011,False
L0474,-217.244101514982,575.64158530999,False
L0475,-141.406209092995,405.804622090422,False
L0481,-143.438149587018,469.945786749944,False
L0485,-138.802462905995,558.06667446997,False
L0494,-103.002792913001,-252.866053760052,False
L0497,25.521834418003,-137.64162334986,False
L0499,-106.047464118979,-255.534779990092,False
L0501,-105.072920384002,-254.617003509775,False
L0503,-69.248156984977,-235.832692399621,False
L0536,414.954081128992,-81.7334749801084,False
L0537,416.129627802991,-83.7650531698018,False
L0538,288.877253806975,-54.6691502500325,False
L0539,278.791718130989,-59.4595235297456,False
L0540,274.279934142018,-62.3324118796736,False
K1892,289.133805694,-54.5064623104408,False
L0565,-357.946728452982,782.788160749711,False
L0572,432.28130983602,-92.5813742103055,False
L0573,407.593162556994,-100.455750839785,False
L0584,450.73862716899,-87.078288000077,False
L0588,558.671309972997,-81.670885739848,False
L0653,110.816478365974,-408.848549179733,False
L0662,111.282832361001,-408.931341120042,False
K0634,55.2211278940085,-423.371502219699,False
L0677,-334.326873612998,-39.732840700075,False
L0682,-334.484018837975,-38.7283467203379,False
L0689,-330.60056617501,-42.480884090066,False
L0694,429.367406798003,-87.6770528601483,False
L0695,360.639182357991,-76.9022423103452,False
L0696,249.676283583976,-79.5275395801291,False
L0699,288.831852775009,-58.1644991496578,False
J0920,404.596312853973,-88.6465748399496,False
K1092,368.012545261998,-78.4078186200932,False
L0705,339.02779222501,-65.0539239002392,False
L0708,429.043523007014,-87.1616167295724,False
L0713,609.863922766002,-118.239293719642,False
L0714,233.931929074985,-88.7318853400648,False
K0774,-175.82286224002,-501.72118578013,False
L0758,-174.591918137972,-502.750688619912,False
K0776,-174.513540075975,-502.818171530031,False
L0770,-174.116368234972,-504.623719980009,False
L0786,200.205328239012,-83.0184714803472,False
L0795,472.968810376013,-66.8140919702128,False
L0800,439.293655352027,-79.7820216696709,False
L0814,-323.683566198975,-566.62230037991,False
L0815,-338.633338563028,-578.739123299718,False
K0532,-377.289034629008,-606.619499729946,False
L0823,-203.699064365006,-513.775309690274,False
L0859,682.415791884996,-79.8223784798756,False
L0888,536.848923376994,-55.8975285198539,False
L0891,-1492.852516738,186.412119910121,False
L0895,-1492.64813083399,187.865725530311,False
L0904,-1495.43081494397,190.173075200059,False
L0911,95.9611174809979,-418.031148780137,True
K1738,101.114231501007,-413.974873900414,False
L0932,-596.390721742006,-415.977775019594,False
L0935,-597.255633857974,-412.277012029663,True
L0951,-1207.83221459901,221.884552990086,False
L0954,-1170.864766157,316.33579067979,False
L0955,-1229.57120242802,217.219379119575,False
L0966,-1220.12609416799,220.421098119579,False
L0967,-1171.08148975897,314.79569402989,False
L0973,-1166.30351629102,226.926741589792,False
L0988,-1185.29396629898,225.108429430053,False
L0993,-1025.530763713,-234.069599879906,False
L0996,-883.636115861998,-275.700148209929,False
L0998,-1002.09671449102,-244.781746240333,False
L1007,-797.303439507028,-254.920084300451,False
L1009,-1052.01698050398,-219.001699780114,False
L1014,-61.1277126600035,-226.020883990452,False
L1018,-133.610937413003,-267.030650709756,False
L1024,-115.978210465983,-254.769354930148,False
L1025,-120.798267656995,-259.243309780024,False
L1026,-149.590371020022,-273.995056480169,False
L1034,-129.697542303009,-264.613475380465,False
L1038,-131.094033498026,-267.101342540234,False
L1039,-25.1142165120109,-209.356121139601,False
L1040,-16.189455026004,-202.99109795969,False
L1042,-108.452723731985,-250.783457010053,False
L1044,-150.758380557992,-274.834097360261,False
L1045,-36.9499921919778,-213.387443490326,False
L1054,-145.591092373012,-279.665462420322,False
L1058,-137.990972094995,-276.322274589911,False
L1068,-131.435047029983,-273.139845670201,False
L1077,-132.27101887099,-271.780386740342,False
L1080,-137.798780084006,-276.464288270101,False
L1086,-97.8520520920283,-244.708833959885,False
L1088,-124.735661997984,-261.973388969898,False
L1089,-141.318374269002,-271.42986836005,False
L1104,-136.385613131977,-275.18593483977,False
