iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
1130	0.949	0.599	-3689.759	-12.85	-3676.909	0.22	0.926	0.429	37.792	0.743
1140	0.957	0.604	-3690.596	-12.429	-3678.167	0.22	0.929	0.429	40.226	0.767
1150	0.964	0.593	-3690.482	-12.722	-3677.76	0.22	0.929	0.426	41.692	0.706
1160	0.972	0.592	-3692.303	-13.06	-3679.243	0.22	0.957	0.425	40.782	0.681
1170	0.979	0.609	-3691.226	-12.384	-3678.842	0.22	0.94	0.427	42.692	0.74
1180	0.987	0.593	-3690.23	-13.163	-3677.067	0.22	0.935	0.426	38.975	0.687
1190	0.994	0.592	-3689.134	-13.052	-3676.082	0.22	0.903	0.428	38.074	0.709
1200	1.002	0.594	-3689.767	-13.281	-3676.486	0.22	0.886	0.428	36.837	0.695
1210	1.01	0.593	-3690.29	-12.382	-3677.908	0.22	0.901	0.43	38.975	0.79
1220	1.018	0.599	-3689.118	-13.282	-3675.836	0.22	0.921	0.428	36.268	0.708
1230	1.026	0.607	-3690.232	-13.808	-3676.424	0.22	0.905	0.426	35.22	0.657
1240	1.034	0.588	-3691.479	-14.186	-3677.293	0.22	0.958	0.426	34.149	0.638
1250	1.042	0.586	-3689.297	-14.084	-3675.213	0.22	0.914	0.427	33.444	0.652
1260	1.05	0.589	-3689.053	-13.501	-3675.552	0.22	0.929	0.429	34.265	0.713
1270	1.058	0.599	-3689.722	-13.964	-3675.759	0.22	0.946	0.428	33.336	0.673
1280	1.067	0.577	-3689.016	-13.385	-3675.632	0.22	0.914	0.427	36.502	0.69
1290	1.076	0.599	-3689.246	-13.105	-3676.141	0.22	0.903	0.428	37.681	0.707
1300	1.085	0.6	-3689.502	-12.737	-3676.766	0.22	0.887	0.429	38.178	0.748
1310	1.094	0.6	-3689.502	-12.737	-3676.766	0.22	0.887	0.429	38.178	0.748
1320	1.101	0.587	-3689.574	-12.591	-3676.983	0.22	0.9	0.43	38.244	0.77
1330	1.109	0.587	-3689.574	-12.591	-3676.983	0.22	0.9	0.43	38.244	0.77
1340	1.117	0.587	-3689.574	-12.591	-3676.983	0.22	0.9	0.43	38.244	0.77
1350	1.125	0.62	-3694.26	-12.176	-3682.084	0.22	0.933	0.43	39.492	0.82
1360	1.132	0.623	-3693.416	-11.816	-3681.599	0.22	0.927	0.429	42.468	0.828
1370	1.14	0.609	-3692.858	-11.584	-3681.275	0.22	0.9	0.43	43.018	0.855
1380	1.148	0.612	-3691.838	-12.193	-3679.645	0.22	0.928	0.429	40.655	0.796
1390	1.156	0.608	-3689.963	-12.752	-3677.212	0.22	0.921	0.429	38.618	0.744
1400	1.164	0.601	-3690.128	-12.944	-3677.184	0.22	0.935	0.429	37.553	0.736
1410	1.172	0.581	-3689.159	-13.379	-3675.781	0.22	0.919	0.427	36.641	0.69
1420	1.18	0.597	-3689.537	-14.186	-3675.351	0.22	0.939	0.43	30.663	0.689
1430	1.187	0.581	-3689.232	-16.147	-3673.085	0.22	0.948	0.428	24.565	0.584
1440	1.195	0.581	-3689.232	-16.147	-3673.085	0.22	0.948	0.428	24.565	0.584
1450	1.203	0.602	-3692.261	-16.81	-3675.451	0.22	0.955	0.424	23.557	0.542
1460	1.211	0.59	-3694.233	-16.888	-3677.345	0.22	0.984	0.43	21.734	0.577
1470	1.219	0.59	-3694.233	-16.888	-3677.345	0.22	0.984	0.43	21.734	0.577
1480	1.226	0.583	-3692.139	-18.117	-3674.022	0.22	0.981	0.428	18.646	0.529
1490	1.234	0.583	-3692.139	-18.117	-3674.022	0.22	0.981	0.428	18.646	0.529
1500	1.241	0.583	-3692.139	-18.117	-3674.022	0.22	0.981	0.428	18.646	0.529
1510	1.249	0.583	-3692.139	-18.117	-3674.022	0.22	0.981	0.428	18.646	0.529
1520	1.256	0.583	-3692.139	-18.117	-3674.022	0.22	0.981	0.428	18.646	0.529
1530	1.264	0.583	-3692.139	-18.117	-3674.022	0.22	0.981	0.428	18.646	0.529
1540	1.271	0.583	-3692.139	-18.117	-3674.022	0.22	0.981	0.428	18.646	0.529
1550	1.279	0.603	-3691.166	-16.616	-3674.549	0.22	0.968	0.428	23.108	0.57
1560	1.287	0.588	-3690.879	-16.447	-3674.432	0.22	0.967	0.429	23.212	0.584
1570	1.294	0.588	-3690.879	-16.447	-3674.432	0.22	0.967	0.429	23.212	0.584
1580	1.302	0.588	-3690.879	-16.447	-3674.432	0.22	0.967	0.429	23.212	0.584
1590	1.31	0.593	-3691.649	-16.133	-3675.515	0.22	0.951	0.424	26.001	0.562
1600	1.318	0.601	-3693.631	-16.882	-3676.749	0.22	0.968	0.423	23.736	0.536
1610	1.327	0.579	-3690.571	-15.645	-3674.926	0.22	0.955	0.426	27.409	0.586
1620	1.335	0.58	-3689.952	-14.68	-3675.272	0.22	0.949	0.427	31.065	0.627
1630	1.343	0.6	-3691.31	-14.442	-3676.868	0.22	0.96	0.426	32.571	0.633
1640	1.351	0.6	-3692.713	-14.771	-3677.942	0.22	0.97	0.43	29.058	0.655
1650	1.358	0.6	-3691.468	-13.741	-3677.728	0.22	0.916	0.425	36.662	0.647
1660	1.366	0.585	-3689.379	-13.782	-3675.598	0.22	0.884	0.428	34.187	0.673
1670	1.374	0.584	-3689.643	-12.882	-3676.761	0.22	0.873	0.429	37.839	0.732
1680	1.382	0.616	-3690.001	-12.774	-3677.228	0.22	0.913	0.429	38.613	0.74
1690	1.39	0.591	-3689.412	-12.513	-3676.899	0.22	0.89	0.429	39.848	0.755
1700	1.397	0.573	-3691.789	-12.545	-3679.244	0.22	0.958	0.427	41.763	0.735
1710	1.405	0.579	-3691.715	-12.218	-3679.497	0.22	0.946	0.429	41.387	0.784
