iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
1750	1.447	0.586	-3624.092	-24.796	-3599.296	0.32	0.885	0.429	45.975	0.837
1760	1.454	0.606	-3624.462	-25.432	-3599.03	0.32	0.915	0.428	46.492	0.801
1770	1.461	0.54	-3624.928	-25.093	-3599.835	0.32	0.843	0.43	42.493	0.837
1780	1.469	0.581	-3623.647	-27.69	-3595.956	0.32	0.927	0.429	36.761	0.737
1790	1.477	0.584	-3628.939	-28.29	-3600.649	0.32	0.97	0.429	34.912	0.723
1800	1.485	0.581	-3623.623	-26.089	-3597.534	0.32	0.896	0.429	40.575	0.795
1810	1.492	0.544	-3624.449	-24.61	-3599.839	0.32	0.924	0.428	48.496	0.837
1820	1.499	0.548	-3623.314	-25.91	-3597.404	0.32	0.898	0.429	42.279	0.795
1830	1.507	0.546	-3624.717	-26.396	-3598.321	0.32	0.895	0.431	36.453	0.802
1840	1.514	0.509	-3627.119	-25.951	-3601.168	0.32	0.873	0.432	34.845	0.836
1850	1.522	0.519	-3623.386	-28.578	-3594.807	0.32	0.873	0.431	31.189	0.726
1860	1.529	0.536	-3622.419	-29.126	-3593.293	0.32	0.904	0.43	31.542	0.699
1870	1.537	0.518	-3623.527	-28.35	-3595.177	0.32	0.871	0.431	31.676	0.733
1880	1.544	0.518	-3623.527	-28.35	-3595.177	0.32	0.871	0.431	31.676	0.733
1890	1.552	0.555	-3624.99	-28.462	-3596.528	0.32	0.826	0.43	32.561	0.721
1900	1.561	0.533	-3624.847	-29.041	-3595.807	0.32	0.823	0.431	29.897	0.711
1910	1.57	0.568	-3624.299	-27.049	-3597.25	0.32	0.844	0.43	36.543	0.766
1920	1.578	0.594	-3623.695	-27.511	-3596.184	0.32	0.9	0.428	39.517	0.729
1930	1.586	0.591	-3625.819	-26.211	-3599.608	0.32	0.902	0.431	36.473	0.813
1940	1.593	0.617	-3624.343	-26.705	-3597.638	0.32	0.894	0.429	39.118	0.771
1950	1.601	0.612	-3624.001	-27.193	-3596.808	0.32	0.898	0.429	38.964	0.747
1960	1.609	0.558	-3623.797	-28.361	-3595.436	0.32	0.854	0.43	34.279	0.716
1970	1.617	0.578	-3624.967	-26.424	-3598.544	0.32	0.867	0.431	35.79	0.804
1980	1.625	0.534	-3623.384	-27.174	-3596.21	0.32	0.916	0.429	38.224	0.753
1990	1.633	0.58	-3623.402	-27.67	-3595.732	0.32	0.906	0.43	35.015	0.747
2000	1.641	0.568	-3623.29	-27.752	-3595.538	0.32	0.881	0.429	37.571	0.727
2010	1.649	0.555	-3624.986	-24.718	-3600.268	0.32	0.858	0.43	42.516	0.858
2020	1.658	0.535	-3624.385	-24.844	-3599.541	0.32	0.875	0.43	43.502	0.846
2030	1.667	0.564	-3624.212	-24.422	-3599.79	0.32	0.892	0.429	46.155	0.857
2040	1.676	0.559	-3623.925	-24.438	-3599.487	0.32	0.893	0.429	47.516	0.85
2050	1.685	0.614	-3625.141	-26.689	-3598.451	0.32	0.887	0.427	44.015	0.747
2060	1.694	0.586	-3623.605	-26.024	-3597.581	0.32	0.905	0.428	43.86	0.782
2070	1.703	0.54	-3623.818	-25.334	-3598.485	0.32	0.874	0.429	43.138	0.821
2080	1.712	0.607	-3625.809	-24.787	-3601.022	0.32	0.884	0.43	42.193	0.858
2090	1.72	0.575	-3623.596	-25.722	-3597.873	0.32	0.891	0.429	42.314	0.805
2100	1.728	0.594	-3625.829	-25.007	-3600.822	0.32	0.839	0.43	41.269	0.848
2110	1.736	0.581	-3623.51	-25.949	-3597.561	0.32	0.894	0.429	41.998	0.794
2120	1.743	0.509	-3624.39	-25.751	-3598.639	0.32	0.908	0.43	40.356	0.814
2130	1.751	0.525	-3627.169	-23.967	-3603.203	0.32	0.899	0.431	42.632	0.905
2140	1.759	0.603	-3624.6	-24.717	-3599.883	0.32	0.9	0.427	50.012	0.823
2150	1.767	0.615	-3625.284	-24.077	-3601.208	0.32	0.875	0.428	49.517	0.86
2160	1.775	0.654	-3627.274	-25.17	-3602.104	0.32	0.898	0.429	43.145	0.831
2170	1.783	0.575	-3623.688	-25.333	-3598.354	0.32	0.909	0.428	45.773	0.809
2180	1.791	0.581	-3623.552	-25.784	-3597.768	0.32	0.888	0.428	43.869	0.793
2190	1.799	0.598	-3624.129	-27.508	-3596.621	0.32	0.915	0.427	40.624	0.725
2200	1.807	0.558	-3626.132	-27.248	-3598.884	0.32	0.945	0.43	35.839	0.765
2210	1.815	0.529	-3622.898	-28.013	-3594.884	0.32	0.92	0.43	35.203	0.729
2220	1.823	0.559	-3623.343	-29.114	-3594.229	0.32	0.929	0.429	33.554	0.689
2230	1.83	0.589	-3624.954	-29.329	-3595.625	0.32	0.945	0.427	34.862	0.674
2240	1.838	0.568	-3622.883	-27.93	-3594.953	0.32	0.903	0.429	36.664	0.724
2250	1.846	0.577	-3624.533	-25.638	-3598.895	0.32	0.852	0.43	40.513	0.818
2260	1.854	0.598	-3625.828	-26.68	-3599.149	0.32	0.837	0.428	41.753	0.756
2270	1.862	0.544	-3625.418	-27.732	-3597.686	0.32	0.841	0.432	31.408	0.765
2280	1.87	0.651	-3626.767	-27.442	-3599.325	0.32	0.893	0.431	34.526	0.761
2290	1.878	0.629	-3625.658	-28.302	-3597.356	0.32	0.932	0.43	33.944	0.724
2300	1.886	0.624	-3624.373	-29.182	-3595.191	0.32	0.904	0.429	32.372	0.692
2310	1.894	0.544	-3623.65	-27.566	-3596.084	0.32	0.874	0.431	34.145	0.756
2320	1.903	0.531	-3623.895	-27.917	-3595.978	0.32	0.863	0.432	31.954	0.752
2330	1.912	0.501	-3626.323	-29.025	-3597.297	0.32	0.944	0.431	30.036	0.716
2340	1.921	0.515	-3624.287	-29.08	-3595.206	0.32	0.883	0.432	28.401	0.722
2350	1.929	0.515	-3624.287	-29.08	-3595.206	0.32	0.883	0.432	28.401	0.722
2360	1.937	0.533	-3628.475	-26.222	-3602.252	0.32	0.81	0.433	32.363	0.837
2370	1.945	0.538	-3623.469	-26.276	-3597.194	0.32	0.9	0.429	40.362	0.786
2380	1.953	0.542	-3624.837	-25.566	-3599.271	0.32	0.926	0.429	42.021	0.817
2390	1.961	0.606	-3624.295	-25.497	-3598.798	0.32	0.904	0.429	44.035	0.809
2400	1.969	0.548	-3623.109	-26.621	-3596.488	0.32	0.9	0.429	40.825	0.766
2410	1.977	0.55	-3625.08	-24.996	-3600.085	0.32	0.871	0.43	40.848	0.852
2420	1.985	0.569	-3625.332	-25.74	-3599.591	0.32	0.838	0.431	38.522	0.823
2430	1.993	0.535	-3628.378	-25.205	-3603.173	0.32	0.806	0.432	36.638	0.865
2440	2.001	0.608	-3629.135	-24.531	-3604.604	0.32	0.804	0.431	39.232	0.888
2450	2.009	0.595	-3627.605	-25.961	-3601.645	0.32	0.794	0.43	38.313	0.812
2460	2.017	0.559	-3624.323	-25.774	-3598.549	0.32	0.848	0.429	42.435	0.8
2470	2.025	0.559	-3624.323	-25.774	-3598.549	0.32	0.848	0.429	42.435	0.8
2480	2.033	0.599	-3624.296	-25.445	-3598.851	0.32	0.892	0.429	42.479	0.819
2490	2.041	0.616	-3625.315	-29.07	-3596.245	0.32	0.889	0.427	35.841	0.677
2500	2.049	0.595	-3624.393	-25.988	-3598.405	0.32	0.896	0.43	39.655	0.805
2510	2.056	0.592	-3623.783	-27.583	-3596.2	0.32	0.919	0.428	39.512	0.727
2520	2.064	0.611	-3624.68	-27.495	-3597.185	0.32	0.931	0.428	38.77	0.735
2530	2.072	0.588	-3630.245	-28.066	-3602.179	0.32	0.978	0.427	40.361	0.706
2540	2.08	0.612	-3624.958	-27.741	-3597.217	0.32	0.937	0.429	37.748	0.73
2550	2.087	0.556	-3622.958	-27.793	-3595.165	0.32	0.895	0.429	37.342	0.727
2560	2.095	0.561	-3623.754	-26.796	-3596.958	0.32	0.911	0.43	37.401	0.776
2570	2.102	0.598	-3623.629	-27.907	-3595.722	0.32	0.902	0.43	34.66	0.737
2580	2.109	0.617	-3624.299	-29.514	-3594.785	0.32	0.918	0.43	30.585	0.689
2590	2.117	0.617	-3624.299	-29.514	-3594.785	0.32	0.918	0.43	30.585	0.689
2600	2.124	0.617	-3624.145	-30.088	-3594.057	0.32	0.909	0.431	28.735	0.675
2610	2.131	0.641	-3625.827	-30.849	-3594.978	0.32	0.928	0.43	27.715	0.651
2620	2.139	0.602	-3625.076	-29.035	-3596.041	0.32	0.893	0.432	28.586	0.723
2630	2.146	0.565	-3623.753	-30.174	-3593.579	0.32	0.918	0.432	27.339	0.681
2640	2.154	0.555	-3623.134	-31.604	-3591.53	0.32	0.906	0.431	25.278	0.636
2650	2.161	0.531	-3623.381	-31.123	-3592.258	0.32	0.879	0.433	24.506	0.66
2660	2.169	0.539	-3623.123	-32.74	-3590.383	0.32	0.889	0.432	21.899	0.616
2670	2.176	0.557	-3623.178	-33.412	-3589.766	0.32	0.909	0.433	20.577	0.602
2680	2.184	0.539	-3623.008	-33.03	-3589.978	0.32	0.904	0.432	21.988	0.605
