iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
15100	11.428	0.56	-3611.179	-22.442	-3588.738	0.32	1.0	4.038	0.395
15200	11.498	0.546	-3610.989	-23.992	-3586.997	0.32	1.0	3.046	0.373
15300	11.566	0.55	-3609.619	-23.568	-3586.05	0.32	1.0	3.304	0.376
15400	11.633	0.621	-3618.628	-21.826	-3596.803	0.32	1.0	4.612	0.39
15500	11.708	0.623	-3615.409	-19.913	-3595.496	0.32	1.0	6.723	0.4
15600	11.777	0.639	-3615.98	-19.066	-3596.913	0.32	1.0	7.891	0.411
15700	11.844	0.633	-3615.902	-16.775	-3599.127	0.32	1.0	12.169	0.449
15800	11.911	0.634	-3616.482	-16.072	-3600.41	0.32	1.0	13.879	0.466
15900	11.978	0.609	-3615.122	-17.607	-3597.516	0.32	1.0	10.307	0.441
16000	12.045	0.591	-3615.199	-19.706	-3595.493	0.32	1.0	6.907	0.412
16100	12.12	0.61	-3618.756	-20.066	-3598.69	0.32	1.0	6.364	0.418
16200	12.19	0.649	-3617.613	-19.434	-3598.179	0.32	1.0	7.276	0.415
16300	12.257	0.658	-3617.591	-16.275	-3601.316	0.32	1.0	13.471	0.452
16400	12.324	0.647	-3617.347	-21.339	-3596.009	0.32	1.0	5.222	0.373
16500	12.391	0.629	-3615.785	-18.277	-3597.508	0.32	1.0	9.09	0.429
16600	12.455	0.568	-3617.178	-20.656	-3596.522	0.32	1.0	5.709	0.408
16700	12.518	0.53	-3612.939	-22.789	-3590.15	0.32	1.0	3.774	0.393
16800	12.582	0.53	-3612.939	-22.789	-3590.15	0.32	1.0	3.774	0.393
16900	12.645	0.563	-3610.336	-24.314	-3586.022	0.32	1.0	2.88	0.368
17000	12.715	0.59	-3610.652	-26.012	-3584.64	0.32	1.0	2.124	0.346
17100	12.793	0.591	-3611.665	-26.057	-3585.608	0.32	1.0	2.099	0.347
17200	12.859	0.582	-3610.766	-27.038	-3583.728	0.32	1.0	1.77	0.333
17300	12.944	0.572	-3610.137	-22.86	-3587.277	0.32	1.0	3.753	0.387
17400	13.013	0.558	-3608.497	-22.662	-3585.835	0.32	1.0	3.911	0.386
17500	13.084	0.558	-3608.497	-22.662	-3585.835	0.32	1.0	3.911	0.386
17600	13.153	0.558	-3608.497	-22.662	-3585.835	0.32	1.0	3.911	0.386
17700	13.217	0.536	-3611.242	-23.322	-3587.92	0.32	1.0	3.438	0.383
17800	13.282	0.576	-3611.204	-27.045	-3584.159	0.32	1.0	1.763	0.335
17900	13.355	0.553	-3610.794	-21.736	-3589.059	0.32	1.0	4.602	0.404
18000	13.438	0.562	-3610.598	-25.085	-3585.512	0.32	1.0	2.504	0.358
