mother,father,distance,prob,offspring
M0069,M0727,707.745,1.0006333122229258,1.0006333122229258
M0069,M1482,6.233,1.0006333122229258,1.0006333122229258
M0069,NA,NA,1.0006333122229258,18.011399620012668
M0078,L1882,29.568,0,0
M0078,M1482,5.048,1.0006333122229258,1.0006333122229258
M0078,NA,NA,1.0006333122229258,23.014566181127297
M0130,M1465,6.814,1.0006333122229258,1.0006333122229258
M0130,M1488,5.985,1.0006333122229258,1.0006333122229258
M0130,NA,NA,1.0006333122229258,18.011399620012668
M0137,M0107,17.96,1.0006333122229258,1.0006333122229258
M0137,M0900,11.928,0,0
M0137,NA,NA,1.0006333122229258,1.0006333122229258
M0202,K0148,747.49,1.0006333122229258,2.0012666244458517
M0202,M0043,303.357,1.0006314122862572,1.0006314122862572
M0202,M0238,68.547,0.9974667511082964,11.969601013299556
M0202,NA,NA,1.0006333122229258,5.041167194426852
M0209,K1156,356.219,1.0006333122229258,1.0006333122229258
M0209,L0215,255.959,1.0006333122229258,2.0012666244458517
M0209,M0043,303.068,1.0006333122229258,1.0006333122229258
M0209,M0202,0.39,1.0006333122229258,10.00633312222926
M0209,M0238,68.303,1.0006333122229258,2.0012666244458517
M0209,NA,NA,1.0006333122229258,10.00633312222926
M0210,K1292,63.349,1.0006333122229258,1.0006333122229258
M0210,L0234,53.272,1.0006333122229258,7.004433185560481
M0210,M0208,154.87,1.0006333122229258,1.0006333122229258
M0210,M1325,13.444,1.0006333122229258,1.0006333122229258
M0210,NA,NA,1.0006333122229258,15.009499683343888
M0225,M0227,137.06,1.0006333122229258,2.0012666244458517
M0225,M0230,39.711,1.0006333122229258,1.0006333122229258
M0225,NA,NA,1.0006333122229258,8.005066497783407
M0238,L0215,188.639,1.0006333122229258,1.0006333122229258
M0238,M0025,333.085,1.0006333122229258,6.003799873337555
M0238,M0043,235.904,1.0006333122229258,1.0006333122229258
M0238,M0243,41.277,1.0006333122229258,1.0006333122229258
M0238,NA,NA,1.0006333122229258,4.002533248891703
M0251,L1847,14.686,1.0006333122229258,7.004433185560481
M0251,M0099,2.872,1.0006333122229258,1.0006333122229258
M0251,NA,NA,1.0006333122229258,10.00633312222926
M0254,M0258,55.533,1.0006333122229258,1.0006333122229258
M0254,M0675,10.026,1.0006333122229258,1.0006333122229258
M0254,M0682,37.717,1.0006333122229258,8.005066497783407
M0254,M0700,41.145,1.0006333122229258,2.0012666244458517
M0254,M1871,10.297,1.0006333122229258,1.0006333122229258
M0254,M1934,0.226,1.0006333122229258,1.0006333122229258
M0254,NA,NA,1.0006333122229258,9.005699810006334
M0258,M0053,2.331,1.0006333122229258,1.0006333122229258
M0258,M0096,3.269,1.0006333122229258,8.005066497783407
